Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total,Percentage
rajat13,7598,WorkingPrecisionResidualIR,"posit<32,2>",Quire,5,5,430,7598,37560,0.013312034078807242
rajat13,7598,WorkingPrecisionResidualIR,"posit<32,2>",Quire,6,10,430,7598,37560,0.026624068157614485
rajat13,7598,WorkingPrecisionResidualIR,"posit<32,2>",Quire,7,5,430,7598,37560,0.013312034078807242
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,2319,86,7598,7512,30.870607028753994
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,1,1864,86,7598,7512,24.8136315228967
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,2,1955,86,7598,7512,26.025026624068158
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,3,1337,86,7598,7512,17.79818956336528
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,4,33,86,7598,7512,0.43929712460063897
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,5,1,86,7598,7512,0.013312034078807242
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,6,2,86,7598,7512,0.026624068157614485
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Plain,7,1,86,7598,7512,0.013312034078807242
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,0,2319,86,7598,7512,30.870607028753994
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,1,1864,86,7598,7512,24.8136315228967
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,2,1955,86,7598,7512,26.025026624068158
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,3,1337,86,7598,7512,17.79818956336528
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,4,33,86,7598,7512,0.43929712460063897
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,5,1,86,7598,7512,0.013312034078807242
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,6,2,86,7598,7512,0.026624068157614485
rajat13,7598,WorkingPrecisionResidualIR,"posit<64,3>",Quire,7,1,86,7598,7512,0.013312034078807242
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Plain,0,428,867,7602,128367,0.3334190251388597
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Plain,1,422,867,7602,128367,0.3287449266556046
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Plain,2,17,867,7602,128367,0.013243279035889286
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Plain,7,43304,867,7602,128367,33.73452678647939
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Plain,8,41696,867,7602,128367,32.48186839296704
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Plain,12,42500,867,7602,128367,33.10819758972322
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Quire,0,417,867,7602,128367,0.32484984458622546
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Quire,1,433,867,7602,128367,0.3373141072082389
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Quire,2,17,867,7602,128367,0.013243279035889286
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Quire,7,43328,867,7602,128367,33.75322318041241
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Quire,8,41672,867,7602,128367,32.46317199903402
rajat03,7602,FactorAccumulatorIR,"posit<16,2>",Quire,12,42500,867,7602,128367,33.10819758972322
