Matrix,n,Experiment,Type,Variant,RangeDecades,Count,SingleTermRows,EmptyRows,Total
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,5,100,90,180,1710
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,6,120,90,180,1710
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,7,10,90,180,1710
rajat14,180,FactorAccumulatorIR,"posit<16,2>",Quire,8,20,90,180,1710
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,0,56,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,1,174,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,2,38,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,3,18,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,4,6,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,5,20,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,6,24,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,7,2,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Plain,8,4,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,0,56,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,1,174,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,2,38,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,3,18,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,4,6,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,5,20,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,6,24,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,7,2,18,180,342
rajat14,180,FactorAccumulatorIR,"posit<32,2>",Quire,8,4,18,180,342
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,0,252,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,1,783,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,2,171,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,3,81,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,4,27,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,5,90,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,6,108,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,7,9,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Plain,8,18,81,180,1539
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,0,140,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,1,435,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,2,95,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,3,45,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,4,15,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,5,50,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,6,60,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,7,5,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<32,2>",Quire,8,10,45,180,855
rajat14,180,WorkingPrecisionResidualIR,"posit<64,3>",Plain,0,28,9,180,171
